Title,Image,Prices,Url,ReviewUrl,Score,Count
007 First Light,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3768760/dbe86ebd2edb4c77d113e9e2feefeb90189fabc9/header_2x.jpg?t=1780705646,$69.99,https://store.steampowered.com/app/3768760/007_First_Light,https://store.steampowered.com/app/3768760/?snr=1_49_4_actiontps_100757#app_reviews_hash,Very Positive,"11,050 User Reviews"
PUBG: BATTLEGROUNDS,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/578080/841ea38bc58cabb70aef65365cf50bc2d79329d9/header_2x.jpg?t=1778634253,Free To Play,https://store.steampowered.com/app/578080/PUBG_BATTLEGROUNDS,https://store.steampowered.com/app/3768760/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"11,050 User Reviews"
Grand Theft Auto V Enhanced,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3240220/header_2x.jpg?t=1765479644,"-50%
$29.99
$14.99",https://store.steampowered.com/app/3240220/Grand_Theft_Auto_V_Enhanced,https://store.steampowered.com/app/2767030/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Mostly Positive,"283,180 User Reviews"
Marvel Rivals,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2767030/1c28b9ed355e516c85b84b1332aa91ea727f60b1/header_2x.jpg?t=1778835753,Free To Play,https://store.steampowered.com/app/2767030/Marvel_Rivals,https://store.steampowered.com/app/3240220/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"62,634 User Reviews"
ARC Raiders,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1808500/04baafaf64a5aa5f46ecda5d71889a4848dc0628/header_2x.jpg?t=1776865359,"-20%
$39.99
$31.99",https://store.steampowered.com/app/1808500/ARC_Raiders,https://store.steampowered.com/app/553850/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"627,002 User Reviews"
HELLDIVERS™ 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/553850/ff42fd1f124b56e9b3555d2bb21fc97f12bded23/hero_capsule.jpg?t=1779899567,$39.99,https://store.steampowered.com/app/553850,https://store.steampowered.com/app/1808500/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"192,630 User Reviews"
HITMAN World of Assassination,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1659040/hero_capsule.jpg?t=1780701514,"-60%
$69.99
$27.99",https://store.steampowered.com/app/1659040,https://store.steampowered.com/app/1659040/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"28,611 User Reviews"
Overwatch®,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2357570/5be5bc1b1c36f4f67fb7d765a6e3a948bbbcd35f/hero_capsule_alt_assets_20.jpg?t=1778610036,Free To Play,https://store.steampowered.com/app/2357570,https://store.steampowered.com/app/2357570/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Mostly Negative,"158,474 User Reviews"
Arma Reforger,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1874880/hero_capsule.jpg?t=1779966148,$39.99,https://store.steampowered.com/app/1874880,https://store.steampowered.com/app/1874880/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Mostly Positive,"28,935 User Reviews"
The First Descendant,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2074920/bfc06f73d228384172ec3b02f22f9ca5a2784920/hero_capsule.jpg?t=1780408872,Free To Play,https://store.steampowered.com/app/2074920,https://store.steampowered.com/app/2074920/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Mixed,"50,410 User Reviews"
Tom Clancy’s The Division® 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2221490/a7ab8e81f383cffbaed2ed1bd238b602f3ce1c94/hero_capsule.jpg?t=1778172597,"-75%
$29.99
$7.49",https://store.steampowered.com/app/2221490,https://store.steampowered.com/app/2221490/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Mostly Positive,"16,562 User Reviews"
World of Warships,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/552990/089b165a03a69511af354bc93e06588f8da68cb7/hero_capsule_alt_assets_12.jpg?t=1780653803,Free To Play,https://store.steampowered.com/app/552990,https://store.steampowered.com/app/552990/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"48,784 User Reviews"
Red Dead Redemption 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1174180/hero_capsule.jpg?t=1759502961,$59.99,https://store.steampowered.com/app/1174180,https://store.steampowered.com/app/1174180/?snr=1_49_4_actiontps_salebrowseall#app_reviews_hash,Very Positive,"300,083 User Reviews"
